,Gene,index
0,ATF3,283
1,BACH2,336
2,BATF,342
3,BCL11A,349
4,BCL3,355
5,BCL6,356
6,CEBPA,664
7,CEBPB,665
8,CTNNB1,894
9,E2F1,1063
10,EBF1,1068
11,ERG,1126
12,ESRRA,1135
13,ETS1,1139
14,FOS,1288
15,GATA1,1340
16,GATA2,1341
17,GATA3,1342
18,IRF4,1717
19,JUND,1763
20,KLF1,1825
21,LMO2,1976
22,LYL1,2025
23,MAF,2040
24,MAFK,2044
25,MAX,2087
26,MEF2C,2111
27,MEIS1,2118
28,MYB,2233
29,MYC,2236
30,NFATC1,2308
31,NFE2,2310
32,NOTCH1,2349
33,PAX5,2465
34,POU2F2,2629
35,RUNX3,3077
36,RXRA,3078
37,SP1,3368
38,SPI1,3382
39,SPIB,3383
40,STAT4,3442
41,TAL1,3499
42,TCF3,3525
43,ZEB1,3935
